ùnd deet het me de gäld dri tòò	LU
chäibe schiss ghaa aso mues scho säge das ìsch aso	LU
oder schpööter	BS
erberich de het	LU
sii isch scho au emaal mitchoo mit öis aber	ZH
nur vo anderne wiitergläbt und	LU
u u hei si de inschpiziiert vo obe bis abe he	BE
und s fluugzüüg ou sig de grööscht teil verautet	BE
der toornischter uf ds fuurgang tue	BE
seer guet ghaa ou	BE
um hundert milioone überzeichnet woorde	BE
am	LU
u dää ìsch nüm zrüggchoo u ds mueti het do zum tiräkter go fraage	BE
sìì ìsch mi mamme und	BS
geschtalten an dr aadria das ìsch zum bischpil e khonggrets bischpil	BS
und dää het dihäim e poliis ghaa	BS
vo däm ofiziir däm violette daa	ZH
das het ich ha vilìcht immer seer vil bildlech	LU
au deet wo wo won ich mit em mit em haupme dänn diskutiirt han	ZH
het im gaar nüüt gfauue das meiland	BE
in in bèrliin	ZH
nüüt und das isch nume i beschtimte	BE
und derna hend si mììch doo gfraagt die wo das glaitet eb mir de òü jee	LU
nume wo s gheisse het mer söu schwööre mit den andere nid de het me haut d finger uufghaa	BE
we mìr tele	LU
und soo wiiter und di öffentlich belüftig isch abschtelt woorde	ZH
ùnd zwee famìlene ggsìì i dem huus ìnne das ìsch zimlech es groosses huus ggsìì	LU
de het mer scho gmercht es geit gäge ds oberland aus	BE
hät es uufgebot überchoo	ZH
dò han ìch khai khontakt ghaa mit jǜǜdische	BS
nachher i de unterofiziirschuel	BS
ich bi ja nid grooss aber ich hane rächt langi aarm und iich ha de scho glii	LU
i ha gsee das isch eze für iin es alibii wenn er wider heichunt	BE
ìsch seer guet ggsìì seer guet het also nüüt mìt	LU
aluminiumwäärk i weiss	BE
und denn isch si verschwunde vo me in den uuesaa isch si verschwunde	BS
no nid dermit grächnet	BE
är het au die lüüt vo basel sìnd dòch immer vil lüüt choo dòò ine	LU
und ich ha müese schaffe gaa	ZH
was ìsch jez daas am letschte taag	BE
wohäär häted d lüüt söuue s gäld nee für öppis la	BE
ìch mues schaffe mer hend arbet ìch bi òü vil i d wärchschtat	LU
hei scho mee chönne säge einnglìch	BE
den ich daa ärwäänt möchti ha profässer binder	ZH
aso main iich bi guet uuschoo mit däm woni	BS
für sibe monet i gränze choo i bi	BE
seer und het si groossi schtüze ghaa	BS
hät si müese mich deet ufe go gebèère	ZH
mir hend aifech keni ghaa	LU
nìd über daas gredt woorde	BS
min maa mit de familie	ZH
vo der armee die häissed di violette die mit de violette patte das isch	ZH
